geonameid,name,lat,long
unknown,BOULEVARD,32.6636,-116.2738
unknown,CARDIFF BY THE SEA,33.0208,-117.2789
unknown,CARMEL VALLEY,36.4799,-121.7328
unknown,DULZURA,32.3839,-116.465
unknown,ELFIN FOREST,33.0737,-117.1642
unknown,GUATAY,32.8494,-116.5572
unknown,JACUMBA,32.6177,-116.1874
unknown,LINCOLN ACRES,32.66891912,-117.0728301
unknown,MURRIETA,33.5539,-117.2139
unknown,ORANGE COVE,36.6244,-119.3137
unknown,PALA,33.3652,-117.0765
unknown,PALOMAR MOUNTAIN,33.3634,-116.8356
unknown,PAUMA VALLEY,33.3034,-116.9814
unknown,RANCHITA,33.2100397,-116.5166835
unknown,RIVERSIDE,33.9806,-117.3755
unknown,SAN CLEMENTE,33.4274,-117.6126
unknown,SAN JUAN CAPISTRANO,33.5019,-117.6628
unknown,SAN YSIDRO,32.5556,-117.047
unknown,SANTA YSABEL,33.1092,-116.6738
unknown,TECATE,32.5812,-119.621
unknown,TEMECULA,33.4936,-117.1484
unknown,UNINCORPORATED AREA-ORANGE COUNTY,33.67358552,-117.5552332
unknown,UNINCORPORATED AREA-SAN DIEGO COUNTY,33.03179806,-116.3132654
unknown,WARNER SPRINGS,33.277,-116.6494
unknown,WINCHESTER,33.707,-117.0845
